SCP_Number,ServerName,Service,Binding
70,CPM Audit Server,cpm_srvaudit,
71,CPM Auditing Outbound Server,cpm_srvauditout,
72,CPM Notify Server,,
73,Time Repository Server,srvtimerepository,
74,CpmScript Report (Read Only),-offer,cpmscript_report
75,User Services,srvuser,
76,System Management Agent,esm_srvagent,
77,CPM Async Script Class 002,cpm_srvscripta,CpmScriptAsync002
78,CPM Script Install,-offer -factor 1,CpmScriptInstall
79,CPM Script (mPages),-offer,cpmscript_mpage
80,CPM Script Cache,cpm_srvcache,
81,CPM Script Cache 001,cpm_srvcache,Cpm.ScriptCache001
82,CPM Script Cache 002,cpm_srvcache,Cpm.ScriptCache002
83,CPM Script Cache 003,cpm_srvcache,Cpm.ScriptCache003
84,CPM Async Script mPage,cpm_srvscripta,cpmscriptasync_mpage
85,CPM Script Batch 002,,cpmscriptbatch002
86,CPM Expedite,cpm_srvexpedite,
90,DM Script Batch Async,cpm_srvscripta,cpmscriptasyncdm
91,CPM Process 001,cpm_srvprocess,cpmprocess001
92,OMF PowerVision Document Server,omf_srvpvdoc,
93,CPM Async Script CIM,cpm_srvscripta,CPMAsyncScriptCIM
