"Original Value","Param Name","Param Value","Transaction Aliases"
38056290,personnel_id_9266,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[10].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
T_PTAGEMIN,flex_token_meaning_9006,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[17].flex_token_meaning}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='flex_token_meaning');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='flex_token_meaning')"
1848118,slot_type_id_9483,"${GetDynamicRoles_417_0.instanceJson.resource_lists[16].roles[0].resources[2].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
1573825,slot_type_id_11041,"${GetDynamicRoles_417_0.instanceJson.resource_lists[90].roles[0].resources[0].slots[1].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
11393511,personnel_id_9440,"${GetDynamicRoles_417_0.instanceJson.resource_lists[14].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
"757 PC Red Any",mnemonic_10713,"${GetDynamicRoles_417_0.instanceJson.resource_lists[79].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
1873789,list_role_id_10398,"${GetDynamicRoles_417_0.instanceJson.resource_lists[63].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1873788,list_role_id_10389,"${GetDynamicRoles_417_0.instanceJson.resource_lists[63].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
4514984,personnel_id_9213,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[21].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1873783,list_role_id_9596,"${GetDynamicRoles_417_0.instanceJson.resource_lists[23].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1873782,list_role_id_9583,"${GetDynamicRoles_417_0.instanceJson.resource_lists[23].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
1186011110,ruleid_2198,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[36].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
8355495,personnel_id_10717,"${GetDynamicRoles_417_0.instanceJson.resource_lists[79].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
267009445,booking_id_18242,"${sch_check_times_593_0.instanceJson.qual[3].booking_id}","(transName='ConfirmAppointments_646_0', messageId=659965, aliases='booking_id')"
267009444,booking_id_18238,"${sch_check_times_593_0.instanceJson.qual[2].booking_id}","(transName='ConfirmAppointments_625_0', messageId=659965, aliases='booking_id')"
267009443,booking_id_18232,"${sch_check_times_593_0.instanceJson.qual[1].booking_id}","(transName='ConfirmAppointments_646_0', messageId=659965, aliases='booking_id')"
267009442,booking_id_18228,"${sch_check_times_593_0.instanceJson.qual[0].booking_id}","(transName='ConfirmAppointments_625_0', messageId=659965, aliases='booking_id')"
12620,"order_entry_field_id_6467","${OrderFormatsByCriteria_279_0.instanceJson.order_formats[0].order_entry_fields[12].order_entry_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id')"
2024-07-03T13:19:40Z,"begineffectivedatetime_2000","${RetrievePatientsByIds_132_0.instanceJson.patients[0].currentname[0].begineffectivedatetime}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='begin_effective_dt_tm_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='begin_effective_dt_tm_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='begin_effective_dt_tm_value')"
1848128,slot_type_id_9526,"${GetDynamicRoles_417_0.instanceJson.resource_lists[20].roles[0].resources[0].slots[1].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
437613114,ruleid_2183,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[31].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
1848126,slot_type_id_9524,"${GetDynamicRoles_417_0.instanceJson.resource_lists[20].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
8355498,personnel_id_9968,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[0].resources[2].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
258201953,location_id_18264,"${Location_RetrieveByIds_611_0.instanceJson.locations[0].location_id}","(transName='AdmitEncounter_621_0', messageId=115551, aliases='locationid');(transName='GetAppointmentEncounterMatches_630_0', messageId=655237, aliases='appointmentlocationcd');(transName='AdmitEncounter_642_0', messageId=115551, aliases='locationid')"
1702131,list_role_id_10773,"${GetDynamicRoles_417_0.instanceJson.resource_lists[80].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1622499,list_role_id_10900,"${GetDynamicRoles_417_0.instanceJson.resource_lists[86].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
1702130,list_role_id_10761,"${GetDynamicRoles_417_0.instanceJson.resource_lists[80].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
10534054,personnel_id_9746,"${GetDynamicRoles_417_0.instanceJson.resource_lists[31].roles[0].resources[0].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1622494,list_role_id_10756,"${GetDynamicRoles_417_0.instanceJson.resource_lists[79].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
1622493,list_role_id_10708,"${GetDynamicRoles_417_0.instanceJson.resource_lists[79].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
1702137,list_role_id_10091,"${GetDynamicRoles_417_0.instanceJson.resource_lists[48].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
1702136,list_role_id_10079,"${GetDynamicRoles_417_0.instanceJson.resource_lists[48].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
108679813,oe_field_id_8981,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[5].oe_field_id}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='oe_field_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='oe_field_id');(transName='GetDynamicRoles_588_0', messageId=659624, aliases='oe_field_id');(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_596_0', messageId=659955, aliases='oe_field_id');(transName='GetFlexingAppointmentInstructions_597_0', messageId=659955, aliases='oe_field_id')"
12958475,personnel_id_10522,"${GetDynamicRoles_417_0.instanceJson.resource_lists[68].roles[0].resources[10].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
111927515,double_value_8986,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[7].double_value}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='value');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='token_value');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='value')"
1553271,slot_type_id_9961,"${GetDynamicRoles_417_0.instanceJson.resource_lists[41].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
1566584,slot_type_id_9188,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[9].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
964580958,ruleid_2080,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[0].notificationrules[1].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
"692GB PC Virtual",mnemonic_9530,"${GetDynamicRoles_417_0.instanceJson.resource_lists[20].roles[0].resources[0].slots[2].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
1590776960,applied_slot_id_11215,"${GetAppointmentAvailability_423_0.instanceJson.result_items[0].suggestions[0].participants[0].participant_slot.applied_slot_id}","(transName='sch_check_times_433_0', messageId=651603, aliases='apply_slot_id')"
13654474,personnel_id_9209,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[19].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
37510855,personnel_id_9272,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[13].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
34858245,personnel_id_11102,"${GetDynamicRoles_417_0.instanceJson.resource_lists[92].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
"757 PC Green Any",mnemonic_10408,"${GetDynamicRoles_417_0.instanceJson.resource_lists[64].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
"757GD NWK PC Same Day",mnemonic_10592,"${GetDynamicRoles_417_0.instanceJson.resource_lists[72].roles[0].resources[0].slots[1].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
18442916,personnel_id_9408,"${GetDynamicRoles_417_0.instanceJson.resource_lists[12].roles[0].resources[4].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
34860318,personnel_id_10394,"${GetDynamicRoles_417_0.instanceJson.resource_lists[63].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1990-12-16T00:00:00Z,dt_tm_value_9007,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[17].dt_tm_value}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='dt_tm_value');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='dt_tm_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='dt_tm_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='dt_tm_value');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='dt_tm_value')"
34860311,personnel_id_9766,"${GetDynamicRoles_417_0.instanceJson.resource_lists[32].roles[0].resources[7].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
"687QC PC Any",mnemonic_10664,"${GetDynamicRoles_417_0.instanceJson.resource_lists[76].roles[0].resources[1].slots[0].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
40194036,personnel_id_9282,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[18].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
12468503,slot_type_id_10496,"${GetDynamicRoles_417_0.instanceJson.resource_lists[67].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
4495913,list_role_id_10340,"${GetDynamicRoles_417_0.instanceJson.resource_lists[60].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
3006779150,ruleid_2213,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[41].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
3006872200,external_service_id_4108,"${GetExternalServicesByIds_242_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_243_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_536_0', messageId=115170, aliases='rca_rule_service_id')"
111910291,double_value_8995,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[12].double_value}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='value');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='token_value');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='token_value');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='value')"
44385178,personnel_id_9680,"${GetDynamicRoles_417_0.instanceJson.resource_lists[25].roles[0].resources[4].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
4495907,list_role_id_10069,"${GetDynamicRoles_417_0.instanceJson.resource_lists[47].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
4495908,list_role_id_10074,"${GetDynamicRoles_417_0.instanceJson.resource_lists[47].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
"653 Rad Any",mnemonic_17898,"${GetDynamicRoles_588_0.instanceJson.resource_lists[0].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_590_0', messageId=659961, aliases='slot_type_mnemonic')"
1702142,list_role_id_10671,"${GetDynamicRoles_417_0.instanceJson.resource_lists[77].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
29516262,personnel_id_9588,"${GetDynamicRoles_417_0.instanceJson.resource_lists[23].roles[0].resources[1].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
4495901,list_role_id_9336,"${GetDynamicRoles_417_0.instanceJson.resource_lists[9].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
2960484109,external_service_id_4092,"${GetExternalServicesByIds_234_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_235_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_531_0', messageId=115170, aliases='rca_rule_service_id')"
4495902,list_role_id_9342,"${GetDynamicRoles_417_0.instanceJson.resource_lists[9].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
15877193,personnel_id_9661,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[26].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
T_PERALL,flex_token_meaning_9012,"${GetFlexPersonToken_300_0.instanceJson.person_tokens[0].tokens[21].flex_token_meaning}","(transName='GetDynamicRoles_417_0', messageId=659624, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='flex_token_meaning');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='flex_token_meaning');(transName='GetFlexingAppointmentInstructions_438_0', messageId=659955, aliases='flex_token_meaning')"
29516264,personnel_id_9309,"${GetDynamicRoles_417_0.instanceJson.resource_lists[6].roles[0].resources[0].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
1702149,list_role_id_9394,"${GetDynamicRoles_417_0.instanceJson.resource_lists[11].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
38056514,personnel_id_11025,"${GetDynamicRoles_417_0.instanceJson.resource_lists[89].roles[0].resources[51].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
1702148,list_role_id_9386,"${GetDynamicRoles_417_0.instanceJson.resource_lists[11].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
34858266,personnel_id_10219,"${GetDynamicRoles_417_0.instanceJson.resource_lists[54].roles[0].resources[5].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
37534822,personnel_id_9290,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[22].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
"668HK PC Any",mnemonic_10063,"${GetDynamicRoles_417_0.instanceJson.resource_lists[46].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
1702143,list_role_id_10679,"${GetDynamicRoles_417_0.instanceJson.resource_lists[77].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
309286,statecd_17418,"${RetrievePatientsByIds_461_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].statecd}","(transName='AdmitEncounter_477_0', messageId=115551, aliases='statecd')"
38056519,personnel_id_9274,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[14].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
1185994639,ruleid_2201,"${RetrieveNotificationRuleRelationshipsByTypes_167_0.instanceJson.results[1].notificationrules[37].ruleid}","(transName='GetRuleDetailsByIds_169_0', messageId=130123, aliases='ruleid')"
"531 PC Any",mnemonic_9576,"${GetDynamicRoles_417_0.instanceJson.resource_lists[22].roles[0].resources[14].slots[0].mnemonic}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='slot_type_mnemonic')"
29516258,personnel_id_9708,"${GetDynamicRoles_417_0.instanceJson.resource_lists[27].roles[0].resources[0].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
8598053,slot_type_id_10241,"${GetDynamicRoles_417_0.instanceJson.resource_lists[56].roles[0].resources[0].slots[1].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
34858295,personnel_id_10217,"${GetDynamicRoles_417_0.instanceJson.resource_lists[54].roles[0].resources[4].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
"692GA PC Telephone",mnemonic_10246,"${GetDynamicRoles_417_0.instanceJson.resource_lists[56].roles[0].resources[0].slots[3].mnemonic}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_mnemonic')"
1842757,slot_type_id_9170,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[0].slots[1].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='slot_type_id')"
"757 PC Yellow Any",mnemonic_10116,"${GetDynamicRoles_417_0.instanceJson.resource_lists[50].roles[0].resources[0].slots[0].mnemonic}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_mnemonic')"
40185531,personnel_id_9264,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[9].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
4515518,list_role_id_9542,"${GetDynamicRoles_417_0.instanceJson.resource_lists[21].roles[0].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='offset_role_id')"
4515519,list_role_id_9550,"${GetDynamicRoles_417_0.instanceJson.resource_lists[21].roles[1].list_role_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='role_id')"
47848750,personnel_id_9462,"${GetDynamicRoles_417_0.instanceJson.resource_lists[14].roles[0].resources[13].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
11336126,personnel_id_9185,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[8].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
5328196,list_role_id_9555,"${GetDynamicRoles_417_0.instanceJson.resource_lists[22].roles[0].list_role_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='offset_role_id')"
5328197,list_role_id_9578,"${GetDynamicRoles_417_0.instanceJson.resource_lists[22].roles[1].list_role_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='role_id')"
44944282,personnel_id_9657,"${GetDynamicRoles_417_0.instanceJson.resource_lists[24].roles[0].resources[24].personnel_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='personnel_id')"
5663360,list_role_id_10493,"${GetDynamicRoles_417_0.instanceJson.resource_lists[67].roles[0].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id');(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='offset_role_id')"
1577671,slot_type_id_11141,"${GetDynamicRoles_417_0.instanceJson.resource_lists[95].roles[0].resources[0].slots[2].slot_type_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='slot_type_id')"
5663361,list_role_id_10498,"${GetDynamicRoles_417_0.instanceJson.resource_lists[67].roles[1].list_role_id}","(transName='GetAppointmentAvailability_425_0', messageId=659961, aliases='role_id')"
PERSON_ID,key_4019,"${GetExternalServicesByIds_215_0.instanceJson.external_services[0].external_service_parameters[0].key}","(transName='rca_call_external_service_220_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_224_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_227_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_229_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_231_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_233_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_235_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_237_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_239_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_241_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_243_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_245_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_523_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_524_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_525_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_526_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_527_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_529_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_531_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_533_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_534_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_535_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_536_0', messageId=115170, aliases='key_txt');(transName='rca_call_external_service_537_0', messageId=115170, aliases='key_txt')"
40184435,personnel_id_9280,"${GetDynamicRoles_417_0.instanceJson.resource_lists[5].roles[0].resources[17].personnel_id}","(transName='GetAppointmentAvailability_424_0', messageId=659961, aliases='personnel_id')"
309261,statecd_18272,"${RetrievePatientsByIds_616_0.instanceJson.patients[0].healthplanrelationships[0].subscriberinformation[0].subscriberhealthplanreltnship[0].healthplanaddresses[0].statecd}","(transName='AdmitEncounter_621_0', messageId=115551, aliases='statecd');(transName='AdmitEncounter_642_0', messageId=115551, aliases='statecd')"
14970323,personnel_id_9411,"${GetDynamicRoles_417_0.instanceJson.resource_lists[12].roles[0].resources[6].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
2960512913,external_service_id_4096,"${GetExternalServicesByIds_236_0.instanceJson.external_services[0].external_service_id}","(transName='rca_call_external_service_237_0', messageId=115170, aliases='rca_rule_service_id');(transName='rca_call_external_service_533_0', messageId=115170, aliases='rca_rule_service_id')"
14970320,personnel_id_9195,"${GetDynamicRoles_417_0.instanceJson.resource_lists[3].roles[0].resources[12].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
309268,statecd_4123,"${RetrievePatientsByIds_247_0.instanceJson.patients[0].addresses[0].statecd}","(transName='codesdk_get_code_259_0', messageId=3200177, aliases='value')"
15540335,personnel_id_10818,"${GetDynamicRoles_417_0.instanceJson.resource_lists[82].roles[0].resources[9].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
15816404,personnel_id_9363,"${GetDynamicRoles_417_0.instanceJson.resource_lists[10].roles[0].resources[6].personnel_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='personnel_id')"
143881593,encounterid_18364,"${AdmitEncounter_642_0.instanceJson.encounterid}","(transName='ConfirmAppointments_646_0', messageId=659965, aliases='encounter_id');(transName='RetrieveEncountersByIds_652_0', messageId=115550, aliases='encounterid')"
143881592,encounterid_18333,"${AdmitEncounter_621_0.instanceJson.encounterid}","(transName='ConfirmAppointments_625_0', messageId=659965, aliases='encounter_id');(transName='RetrieveEncountersByIds_652_0', messageId=115550, aliases='encounterid')"
143881591,encounterid_17536,"${AdmitEncounter_477_0.instanceJson.encounterid}","(transName='ConfirmAppointments_485_0', messageId=659965, aliases='encounter_id');(transName='RetrieveEncountersByIds_498_0', messageId=115550, aliases='encounterid')"
5254720,slot_type_id_10571,"${GetDynamicRoles_417_0.instanceJson.resource_lists[71].roles[0].resources[0].slots[0].slot_type_id}","(transName='GetAppointmentAvailability_423_0', messageId=659961, aliases='slot_type_id')"
